nomor_laporan,tanggal_kejadian,tanggal_laporan,jenis_kejahatan,sub_jenis,modus_operandi,platform,provinsi,kota_kabupaten,latitude,longitude,usia_korban,jenis_kelamin_korban,pekerjaan_korban,pendidikan_korban,estimasi_kerugian,jumlah_korban,tingkat_keparahan,status_kasus,tersangka_teridentifikasi,sumber_data,keterangan
LP/2020/0298/SBR,2020-03-06,2020-04-02,Akses Ilegal,Defacement,Default Credentials,Email,Sulawesi Selatan,,-5.166748,119.459563,45,L,PNS,SMP,24408873,3,tinggi,selesai,0,Laporan Masyarakat,
LP/2020/0299/SBR,2020-08-16,2020-09-12,Konten Asusila,Sextortion,Sextortion,Telegram,Jawa Barat,,-6.943013,107.625747,46,L,Wiraswasta,SD,4182914,3,tinggi,baru,0,Inisiatif Polri,
LP/2020/0300/SBR,2020-04-02,2020-04-07,Konten Asusila,Penyebaran Konten,Penyebaran Massal,WhatsApp,Riau,,0.5238,101.481601,36,L,Wiraswasta,SD,1243662,1,tinggi,baru,0,Patroli Siber,
LP/2020/0301/SBR,2020-12-23,2021-01-11,Pencemaran Nama,Fitnah,Manipulasi Foto,Website,Sumatera Utara,,3.638348,98.631513,36,L,Petani,SMP,1200163,1,sedang,selesai,0,Laporan Masyarakat,
LP/2020/0302/SBR,2020-12-28,2021-01-05,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,WhatsApp,DKI Jakarta,,-6.24787,106.868573,57,P,Wiraswasta,TD,22592810,7,sedang,p21,0,Kerjasama Antar Lembaga,
LP/2020/0303/SBR,2020-06-09,2020-06-25,Penipuan Online,Skema Ponzi,Telepon Penipuan,Telepon,Sumatera Utara,,3.594974,98.702998,56,L,Pelajar,D3,39097172,6,tinggi,baru,1,Kerjasama Antar Lembaga,
LP/2020/0304/SBR,2020-04-26,2020-05-15,Judi Online,Sportsbook,Telegram,Telepon,Sumatera Selatan,,-3.019666,104.770762,61,L,Wiraswasta,S1,14912744,2,rendah,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2020/0305/SBR,2020-07-24,2020-08-11,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Website,Jawa Timur,,-7.215272,112.750011,47,P,Tidak Bekerja,SMA,41838613,1,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2020/0306/SBR,2020-07-24,2020-07-25,Peretasan Akun,Social Engineering,Social Engineering,Marketplace,Jawa Tengah,,-6.963111,110.387526,60,L,IRT,SMP,18484316,2,sedang,dihentikan,1,Laporan Masyarakat,
LP/2020/0307/SBR,2020-09-27,2020-10-02,Penipuan Online,Investasi Bodong,Fake Marketplace,Website,Jawa Timur,,-7.236516,112.72925,22,P,Mahasiswa,S2,38817929,7,rendah,dalam_penyelidikan,0,Patroli Siber,
LP/2020/0308/SBR,2020-06-26,2020-06-27,Akses Ilegal,Defacement,Default Credentials,Marketplace,DKI Jakarta,,-6.243392,106.829612,47,P,Profesional,S1,32125189,2,sedang,selesai,1,Laporan Masyarakat,
LP/2020/0309/SBR,2020-11-05,2020-11-11,Hoaks/Disinformasi,SARA,Manipulasi Foto,Instagram,Kalimantan Selatan,,-3.368989,114.634034,60,P,Wiraswasta,S2,759767,5,rendah,dalam_penyelidikan,1,Inisiatif Polri,
LP/2020/0310/SBR,2020-01-19,2020-02-12,Judi Online,Sportsbook,Aplikasi Pihak Ketiga,Telegram,Sumatera Selatan,,-3.012243,104.759928,45,P,Pelajar,SMA,11473777,3,sedang,baru,1,Inisiatif Polri,
LP/2020/0311/SBR,2020-09-12,2020-09-29,Akses Ilegal,SQL Injection,SQL Injection,Facebook,DKI Jakarta,,-6.251676,106.856926,38,P,Karyawan Swasta,SMA,47746321,5,sedang,baru,0,Laporan Masyarakat,
LP/2020/0312/SBR,2020-07-13,2020-07-18,Penipuan Online,Penipuan Pinjol Ilegal,Fake Marketplace,Telegram,DKI Jakarta,,-6.18751,106.862687,51,L,Buruh,SMA,47790112,8,sedang,baru,0,Kerjasama Antar Lembaga,
LP/2020/0313/SBR,2020-11-21,2020-12-13,Pencurian Data,Data Pribadi,Phishing,SMS,Jawa Tengah,,-6.990895,110.403045,28,P,Tidak Bekerja,S2,134928938,31,tinggi,selesai,0,Aduan Konten Kominfo,
LP/2020/0314/SBR,2020-02-12,2020-02-27,Akses Ilegal,SQL Injection,SQL Injection,Marketplace,DKI Jakarta,,-6.248507,106.877355,23,L,Tidak Bekerja,SMP,66906810,3,sedang,selesai,0,Aduan Konten Kominfo,
LP/2020/0315/SBR,2020-04-18,2020-04-23,Konten Asusila,Penyebaran Konten,Pemerasan,SMS,Jawa Barat,,-6.921585,107.657821,53,P,Profesional,D3,4046451,2,sedang,baru,0,Kerjasama Antar Lembaga,
LP/2020/0316/SBR,2020-08-04,2020-08-22,Peretasan Akun,Phishing,Password Lemah,Facebook,Banten,,-6.138996,106.140879,55,L,Pensiunan,S3,21000974,2,sedang,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2020/0317/SBR,2020-10-25,2020-11-14,Penipuan Online,Skema Ponzi,Telepon Penipuan,Email,Riau,,0.496098,101.455593,29,L,IRT,S1,512370,3,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2020/0318/SBR,2020-12-12,2020-12-14,Peretasan Akun,Social Engineering,Password Lemah,Facebook,Kalimantan Selatan,,-3.284149,114.547041,52,P,Karyawan Swasta,S2,20553072,1,sedang,baru,1,Laporan Masyarakat,
LP/2020/0319/SBR,2020-07-21,2020-07-31,Penipuan Online,Skema Ponzi,Telepon Penipuan,Telegram,Bali,,-8.393251,115.186387,29,P,IRT,S3,48266321,7,sedang,baru,0,Kerjasama Antar Lembaga,
LP/2020/0320/SBR,2020-11-01,2020-11-05,Penipuan Online,Jual-Beli Fiktif,Phishing,Facebook,DKI Jakarta,,-6.194576,106.837186,46,P,Pensiunan,S3,48908256,8,sedang,p21,0,Aduan Konten Kominfo,
LP/2020/0321/SBR,2020-06-08,2020-06-13,Akses Ilegal,XSS,SQL Injection,Marketplace,Jawa Tengah,,-6.989775,110.459356,53,L,Karyawan Swasta,TD,62011913,10,sedang,p21,1,Aduan Konten Kominfo,
LP/2020/0322/SBR,2020-12-24,2021-01-09,Pemerasan Siber,Ransomware,DDoS Threat,SMS,DKI Jakarta,,-6.249955,106.842845,64,P,Tidak Bekerja,SMP,452965754,3,tinggi,p21,0,Inisiatif Polri,
LP/2020/0323/SBR,2020-06-18,2020-07-12,Penipuan Online,Skema Ponzi,Telepon Penipuan,Website,DKI Jakarta,,-6.216698,106.891658,35,L,Karyawan Swasta,S1,1223661,8,sedang,p21,0,Laporan Masyarakat,
LP/2020/0324/SBR,2020-10-02,2020-10-23,Konten Asusila,Pornografi Anak,Sextortion,Instagram,Sumatera Utara,,3.557882,98.629886,34,L,Pensiunan,S1,2447403,3,tinggi,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2020/0325/SBR,2020-10-24,2020-10-28,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Telegram,DKI Jakarta,,-6.210308,106.875537,19,L,Wiraswasta,SMA,44735186,8,sedang,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2020/0326/SBR,2020-07-08,2020-07-29,Judi Online,Slot Online,Telegram,Website,Jawa Timur,,-7.302067,112.72854,24,L,Buruh,S3,15770157,3,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2020/0327/SBR,2020-07-16,2020-07-24,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Telepon,Bali,,-8.427931,115.191925,19,L,Profesional,S2,10240840,7,rendah,dihentikan,0,Kerjasama Antar Lembaga,
LP/2020/0328/SBR,2020-05-26,2020-05-29,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,Telegram,Jawa Timur,,-7.234069,112.760972,29,P,Tidak Bekerja,SMA,267747,84,rendah,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2020/0329/SBR,2020-02-17,2020-02-20,Hoaks/Disinformasi,SARA,Akun Buzzer,Email,DKI Jakarta,,-6.239492,106.79797,22,L,Pensiunan,D3,718798,58,rendah,dihentikan,0,Kerjasama Antar Lembaga,
LP/2020/0330/SBR,2020-10-05,2020-10-17,Pemerasan Siber,Ransomware,Ransomware,Facebook,DKI Jakarta,,-6.233466,106.842296,21,P,Pelajar,S3,402399182,5,kritis,p21,0,Aduan BSSN,
LP/2020/0331/SBR,2020-05-25,2020-05-26,Penipuan Online,Investasi Bodong,Fake Marketplace,Email,Daerah Istimewa Yogyakarta,,-7.829407,110.32574,29,P,PNS,TD,26189206,7,sedang,baru,0,Aduan Konten Kominfo,
LP/2020/0332/SBR,2020-08-23,2020-08-31,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,WhatsApp,Sulawesi Selatan,,-5.108049,119.397585,57,L,Karyawan Swasta,S3,7431481,1,rendah,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2020/0333/SBR,2020-08-16,2020-08-29,Konten Asusila,Penyebaran Konten,Pemerasan,Telegram,Banten,,-6.169469,106.195716,47,L,Profesional,S2,3388265,3,tinggi,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2020/0334/SBR,2020-02-12,2020-02-29,Konten Asusila,Pornografi Anak,Pemerasan,Telegram,Sulawesi Utara,,1.442462,124.796033,41,P,Pelajar,S3,2852653,1,tinggi,selesai,0,Aduan BSSN,
LP/2020/0335/SBR,2020-08-24,2020-08-30,Akses Ilegal,Brute Force,Default Credentials,TikTok,Lampung,,-5.493701,105.270755,36,P,Buruh,SD,23782825,1,sedang,baru,1,Kerjasama Antar Lembaga,
LP/2020/0336/SBR,2020-11-22,2020-12-08,Penipuan Online,Jual-Beli Fiktif,Phishing,WhatsApp,DKI Jakarta,,-6.185254,106.844489,18,L,Pensiunan,SD,31260714,3,sedang,baru,0,Laporan Masyarakat,
LP/2020/0337/SBR,2020-05-27,2020-06-21,Penipuan Online,Investasi Bodong,Phishing,Instagram,DKI Jakarta,,-6.209086,106.875518,31,L,Mahasiswa,S3,7029171,8,sedang,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2020/0338/SBR,2020-11-19,2020-12-06,Pencemaran Nama,Doxing,Akun Anonim,SMS,Jawa Timur,,-7.290155,112.708422,34,L,Petani,SMA,288000,2,sedang,p21,0,Aduan Konten Kominfo,
LP/2020/0339/SBR,2020-03-04,2020-03-29,Penipuan Online,Investasi Bodong,Modus Skema Ponzi,Instagram,Sumatera Utara,,3.545835,98.640141,22,P,Pensiunan,S1,42925862,7,sedang,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2020/0340/SBR,2020-11-09,2020-11-25,Pencemaran Nama,Doxing,Manipulasi Foto,WhatsApp,Jawa Barat,,-6.905073,107.63152,56,P,Tidak Bekerja,S1,944597,2,rendah,dalam_penyelidikan,1,Patroli Siber,
LP/2020/0341/SBR,2020-02-20,2020-03-02,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,WhatsApp,Nusa Tenggara Barat,,-8.613928,116.146361,60,P,Buruh,TD,36720185,4,sedang,baru,0,Laporan Masyarakat,
LP/2020/0342/SBR,2020-04-14,2020-04-22,Penipuan Online,Investasi Bodong,Telepon Penipuan,Facebook,Jawa Timur,,-7.291695,112.705007,49,L,Mahasiswa,TD,22934132,8,rendah,dalam_penyelidikan,1,Patroli Siber,
LP/2020/0343/SBR,2020-04-25,2020-04-28,Judi Online,Live Casino,Web Ilegal,Telegram,Kalimantan Timur,,0.494653,117.125666,47,P,Karyawan Swasta,S3,11943181,1,rendah,baru,0,Aduan Konten Kominfo,
LP/2020/0344/SBR,2020-08-24,2020-08-30,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Facebook,Jawa Timur,,-7.304291,112.758967,34,L,Buruh,TD,42914219,6,tinggi,dalam_penyelidikan,0,Patroli Siber,
LP/2020/0345/SBR,2020-11-20,2020-12-18,Peretasan Akun,Phishing,Phishing,TikTok,Sumatera Utara,,3.630897,98.671121,30,P,Buruh,S1,6702088,3,tinggi,baru,0,Patroli Siber,
LP/2020/0346/SBR,2020-04-19,2020-05-19,Penipuan Online,Investasi Bodong,Phishing,Twitter/X,Jawa Tengah,,-6.943352,110.417122,44,P,Buruh,SMP,10497187,1,sedang,dalam_penyelidikan,1,Inisiatif Polri,
LP/2020/0347/SBR,2020-07-07,2020-07-11,Judi Online,Slot Online,Aplikasi Pihak Ketiga,Twitter/X,Bali,,-8.392596,115.15508,46,P,Pensiunan,SD,13026099,2,rendah,dihentikan,0,Patroli Siber,
LP/2020/0348/SBR,2020-06-21,2020-07-05,Hoaks/Disinformasi,SARA,Forward Massal,TikTok,Jawa Timur,,-7.218157,112.735391,19,L,Pelajar,D3,738094,82,rendah,selesai,1,Aduan BSSN,
LP/2020/0349/SBR,2020-11-12,2020-12-10,Pencemaran Nama,Hate Speech,Manipulasi Foto,WhatsApp,DKI Jakarta,,-6.222243,106.813127,52,P,Profesional,D3,108134,1,rendah,baru,1,Inisiatif Polri,
LP/2020/0350/SBR,2020-10-28,2020-11-27,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Website,Jawa Tengah,,-6.926907,110.417057,44,L,Wiraswasta,S2,47667036,4,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2021/0351/SBR,2021-09-22,2021-10-18,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,Instagram,Jawa Tengah,,-6.997865,110.455098,22,L,PNS,S1,558739,38,rendah,dihentikan,1,Patroli Siber,
LP/2021/0352/SBR,2021-08-05,2021-09-01,Penipuan Online,Jual-Beli Fiktif,Modus Skema Ponzi,Website,Bali,,-8.417487,115.212671,18,L,Wiraswasta,SD,14207398,1,rendah,selesai,1,Inisiatif Polri,
LP/2021/0353/SBR,2021-06-21,2021-07-11,Konten Asusila,Sextortion,Pemerasan,Marketplace,Jawa Timur,,-7.262974,112.732508,25,P,Pelajar,SMA,2737256,2,sedang,selesai,1,Aduan BSSN,
LP/2021/0354/SBR,2021-01-05,2021-01-16,Pemerasan Siber,Ransomware,DDoS Threat,Marketplace,Daerah Istimewa Yogyakarta,,-7.818675,110.416121,62,P,Tidak Bekerja,SMA,202676440,4,kritis,baru,1,Aduan BSSN,
LP/2021/0355/SBR,2021-06-06,2021-06-12,Konten Asusila,Pornografi Anak,Sextortion,Facebook,Jawa Tengah,,-6.979409,110.420687,27,P,Wiraswasta,SD,4718484,3,sedang,dalam_penyelidikan,0,Patroli Siber,
LP/2021/0356/SBR,2021-03-01,2021-03-24,Pemerasan Siber,Sextortion Bisnis,Sextortion Bisnis,Email,Kalimantan Selatan,,-3.272439,114.616216,53,P,Pensiunan,TD,343209676,5,tinggi,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2021/0357/SBR,2021-09-04,2021-09-13,Peretasan Akun,Phishing,Password Lemah,Website,DKI Jakarta,,-6.249552,106.801103,58,L,Profesional,D3,1832002,2,sedang,selesai,0,Patroli Siber,
LP/2021/0358/SBR,2021-08-22,2021-09-12,Penipuan Online,Penipuan Pinjol Ilegal,Telepon Penipuan,SMS,Banten,,-6.118644,106.105905,59,L,PNS,S3,6363766,7,rendah,dalam_penyelidikan,0,Aduan BSSN,
LP/2021/0359/SBR,2021-08-28,2021-09-14,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Twitter/X,Jawa Barat,,-6.935837,107.640367,44,P,Petani,SMA,6378644,4,sedang,selesai,0,Patroli Siber,
LP/2021/0360/SBR,2021-09-11,2021-09-13,Penipuan Online,Skema Ponzi,Fake Marketplace,TikTok,Jawa Tengah,,-6.999211,110.412912,53,P,PNS,D3,40139789,7,rendah,baru,0,Inisiatif Polri,
LP/2021/0361/SBR,2021-05-27,2021-06-14,Akses Ilegal,XSS,SQL Injection,WhatsApp,Riau,,0.536222,101.413202,36,P,Tidak Bekerja,TD,45790697,8,tinggi,baru,0,Aduan BSSN,
LP/2021/0362/SBR,2021-12-21,2021-12-28,Pencurian Data,Data Korporat,SQL Injection,SMS,Jawa Tengah,,-6.942143,110.424807,53,L,Pelajar,TD,17634999,8,tinggi,dihentikan,0,Aduan BSSN,
LP/2021/0363/SBR,2021-05-06,2021-05-24,Akses Ilegal,Brute Force,Exploit Vulnerability,Facebook,Sumatera Utara,,3.550489,98.658316,57,P,IRT,SD,12853132,3,sedang,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2021/0364/SBR,2021-03-25,2021-03-28,Akses Ilegal,SQL Injection,Exploit Vulnerability,Email,Daerah Istimewa Yogyakarta,,-7.778656,110.387635,23,P,IRT,SMA,85364540,3,sedang,baru,0,Aduan BSSN,
LP/2021/0365/SBR,2021-03-04,2021-03-10,Judi Online,Slot Online,Telegram,SMS,Jawa Timur,,-7.238535,112.79735,51,P,Wiraswasta,S3,6186002,3,rendah,dalam_penyelidikan,1,Patroli Siber,
LP/2021/0366/SBR,2021-05-23,2021-06-03,Peretasan Akun,Social Engineering,Social Engineering,Facebook,Jawa Tengah,,-6.945711,110.369576,24,L,PNS,D3,5664535,2,tinggi,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2021/0367/SBR,2021-02-03,2021-02-03,Pencurian Data,Data Pribadi,SQL Injection,WhatsApp,Daerah Istimewa Yogyakarta,,-7.767894,110.370148,20,L,Pelajar,SD,139991183,49,tinggi,baru,0,Laporan Masyarakat,
LP/2021/0368/SBR,2021-04-19,2021-05-17,Judi Online,Slot Online,Aplikasi Pihak Ketiga,Facebook,Kalimantan Timur,,0.541686,117.197784,54,L,PNS,D3,7711706,1,sedang,dalam_penyelidikan,1,Inisiatif Polri,
LP/2021/0369/SBR,2021-12-07,2022-01-06,Judi Online,Live Casino,Aplikasi Pihak Ketiga,Instagram,Banten,,-6.077377,106.192348,62,L,Pensiunan,SMA,10457544,1,sedang,dalam_penyelidikan,0,Patroli Siber,
LP/2021/0370/SBR,2021-07-07,2021-07-23,Hoaks/Disinformasi,Hoaks Kesehatan,Forward Massal,Twitter/X,Nusa Tenggara Barat,,-8.622268,116.080291,65,L,Pelajar,SD,238607,53,rendah,baru,0,Aduan Konten Kominfo,
LP/2021/0371/SBR,2021-05-22,2021-06-17,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Telegram,Sumatera Utara,,3.630877,98.711675,47,P,IRT,SMA,30293374,4,sedang,baru,0,Kerjasama Antar Lembaga,
LP/2021/0372/SBR,2021-11-22,2021-11-24,Penipuan Online,Investasi Bodong,Social Engineering,Instagram,Jawa Tengah,,-6.980329,110.386609,29,P,Petani,SMP,8500574,3,sedang,baru,0,Aduan Konten Kominfo,
LP/2021/0373/SBR,2021-10-19,2021-10-27,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Marketplace,Bali,,-8.431611,115.2157,23,L,Buruh,TD,43706778,7,sedang,baru,0,Laporan Masyarakat,
LP/2021/0374/SBR,2021-02-16,2021-03-09,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,Email,DKI Jakarta,,-6.196603,106.805233,21,P,Profesional,TD,2295087,3,sedang,selesai,1,Kerjasama Antar Lembaga,
LP/2021/0375/SBR,2021-09-11,2021-10-06,Akses Ilegal,Defacement,Default Credentials,Instagram,Jawa Tengah,,-6.978337,110.398156,41,L,Karyawan Swasta,SD,77548572,9,sedang,baru,0,Aduan BSSN,
LP/2021/0376/SBR,2021-07-05,2021-07-14,Peretasan Akun,Social Engineering,Password Lemah,Telepon,DKI Jakarta,,-6.203422,106.849539,47,L,PNS,SD,14055374,2,tinggi,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2021/0377/SBR,2021-05-11,2021-05-12,Konten Asusila,Pornografi Anak,Sextortion,SMS,Jawa Timur,,-7.30481,112.791234,38,L,Petani,S2,236114,3,sedang,dihentikan,0,Laporan Masyarakat,
LP/2021/0378/SBR,2021-11-10,2021-11-28,Pencemaran Nama,Doxing,Bot Spam,Facebook,Jawa Barat,,-6.962729,107.592412,46,P,Petani,S3,178135,1,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2021/0379/SBR,2021-10-13,2021-10-23,Penipuan Online,Investasi Bodong,Social Engineering,Website,Jawa Barat,,-6.915027,107.640946,59,L,Pensiunan,S1,38922418,2,sedang,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2021/0380/SBR,2021-02-27,2021-03-26,Konten Asusila,Penyebaran Konten,Sextortion,SMS,Nusa Tenggara Barat,,-8.593097,116.089289,64,P,Pensiunan,SMP,4494901,1,sedang,dalam_penyelidikan,1,Inisiatif Polri,
LP/2021/0381/SBR,2021-04-12,2021-05-07,Judi Online,Live Casino,Web Ilegal,TikTok,Jawa Tengah,,-6.950354,110.398035,43,L,Pensiunan,TD,3572336,3,sedang,p21,0,Laporan Masyarakat,
LP/2021/0382/SBR,2021-03-19,2021-04-03,Konten Asusila,Sextortion,Sextortion,Email,Banten,,-6.076084,106.153572,56,P,Petani,SD,1786377,3,tinggi,dalam_penyelidikan,0,Patroli Siber,
LP/2021/0383/SBR,2021-05-28,2021-06-10,Penipuan Online,Investasi Bodong,Social Engineering,TikTok,Sumatera Selatan,,-3.014207,104.735404,27,L,Pensiunan,D3,28032100,6,tinggi,dalam_penyelidikan,1,Patroli Siber,
LP/2021/0384/SBR,2021-05-15,2021-05-30,Penipuan Online,Investasi Bodong,Social Engineering,Facebook,Daerah Istimewa Yogyakarta,,-7.819929,110.321714,34,P,PNS,SD,38069220,7,sedang,dihentikan,0,Laporan Masyarakat,
LP/2021/0385/SBR,2021-06-20,2021-06-29,Penipuan Online,Investasi Bodong,Modus Skema Ponzi,Facebook,Kalimantan Timur,,0.480704,117.160697,49,P,Profesional,S1,4766895,7,tinggi,dalam_penyelidikan,1,Inisiatif Polri,
LP/2021/0386/SBR,2021-06-27,2021-07-15,Penipuan Online,Jual-Beli Fiktif,Modus Skema Ponzi,Telegram,Riau,,0.471528,101.415315,34,L,Pelajar,SD,49975094,7,sedang,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2021/0387/SBR,2021-11-08,2021-12-08,Penipuan Online,Penipuan Pinjol Ilegal,Fake Marketplace,WhatsApp,Jawa Timur,,-7.24296,112.792623,19,P,Tidak Bekerja,SD,19138397,3,sedang,p21,0,Patroli Siber,
LP/2021/0388/SBR,2021-11-23,2021-12-04,Penipuan Online,Jual-Beli Fiktif,Modus Skema Ponzi,TikTok,Jawa Timur,,-7.306713,112.798175,33,L,Mahasiswa,S1,46486237,2,sedang,baru,0,Aduan Konten Kominfo,
LP/2021/0389/SBR,2021-11-14,2021-12-09,Konten Asusila,Pornografi Anak,Sextortion,TikTok,Lampung,,-5.40735,105.249972,44,P,Wiraswasta,SMA,284220,2,tinggi,p21,0,Aduan BSSN,
LP/2021/0390/SBR,2021-09-24,2021-10-04,Pencurian Data,Data Pribadi,Phishing,Telepon,Sumatera Selatan,,-2.99656,104.77081,17,L,Tidak Bekerja,S1,131671524,45,sedang,dalam_penyelidikan,1,Patroli Siber,
LP/2021/0391/SBR,2021-11-25,2021-11-29,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Twitter/X,Bali,,-8.372149,115.152251,28,P,IRT,S1,40363747,7,sedang,baru,0,Patroli Siber,
LP/2021/0392/SBR,2021-10-08,2021-10-08,Pencurian Data,Data Pemerintah,Phishing,Instagram,Jawa Timur,,-7.210087,112.721927,61,P,Karyawan Swasta,S3,16165986,36,tinggi,p21,0,Patroli Siber,
LP/2021/0393/SBR,2021-10-04,2021-10-04,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Instagram,Jawa Timur,,-7.285052,112.722415,34,L,Buruh,S3,48723317,7,sedang,baru,0,Inisiatif Polri,
LP/2021/0394/SBR,2021-12-22,2021-12-28,Penipuan Online,Jual-Beli Fiktif,Phishing,Email,Riau,,0.554713,101.421349,45,P,IRT,TD,28573717,3,sedang,baru,0,Aduan BSSN,
LP/2021/0395/SBR,2021-04-23,2021-05-05,Pemerasan Siber,Sextortion Bisnis,Ransomware,Instagram,Jawa Timur,,-7.2518,112.707311,32,L,IRT,SD,430347896,4,kritis,baru,0,Aduan Konten Kominfo,
LP/2021/0396/SBR,2021-06-05,2021-07-05,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,Marketplace,Jawa Timur,,-7.258216,112.736018,46,L,IRT,S3,38051462,1,sedang,baru,1,Laporan Masyarakat,
LP/2021/0397/SBR,2021-05-24,2021-06-04,Pemerasan Siber,Sextortion Bisnis,DDoS Threat,Email,Jawa Tengah,,-6.965003,110.410278,27,L,Buruh,SMA,280900675,3,kritis,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2021/0398/SBR,2021-03-02,2021-03-09,Judi Online,Slot Online,Telegram,Twitter/X,DKI Jakarta,,-6.215157,106.89512,48,L,IRT,TD,7145203,1,rendah,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2021/0399/SBR,2021-02-07,2021-03-06,Hoaks/Disinformasi,SARA,Manipulasi Foto,Email,DKI Jakarta,,-6.202475,106.861914,30,P,Karyawan Swasta,SMA,297917,24,sedang,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2021/0400/SBR,2021-01-10,2021-01-31,Pencemaran Nama,Fitnah,Akun Anonim,Website,Lampung,,-5.484622,105.224806,62,P,Buruh,S1,1427404,1,rendah,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2021/0401/SBR,2021-06-24,2021-07-17,Konten Asusila,Penyebaran Konten,Pemerasan,Email,Sulawesi Utara,,1.457117,124.797654,21,P,Pensiunan,S3,4774447,1,sedang,baru,1,Patroli Siber,
LP/2021/0402/SBR,2021-02-01,2021-02-28,Pemerasan Siber,Sextortion Bisnis,Sextortion Bisnis,Telepon,Lampung,,-5.424744,105.282106,24,L,Petani,S1,161788733,2,tinggi,dihentikan,0,Aduan BSSN,
LP/2021/0403/SBR,2021-09-07,2021-09-22,Pencemaran Nama,Fitnah,Manipulasi Foto,TikTok,Sumatera Barat,,-0.988078,100.409454,40,P,Petani,S3,934160,2,rendah,baru,0,Aduan Konten Kominfo,
LP/2021/0404/SBR,2021-12-05,2022-01-03,Pencemaran Nama,Hate Speech,Akun Anonim,Twitter/X,Sulawesi Selatan,,-5.167661,119.481119,60,P,Mahasiswa,S3,1038766,1,rendah,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2021/0405/SBR,2021-09-14,2021-09-27,Peretasan Akun,Social Engineering,Social Engineering,Website,Jawa Tengah,,-6.991214,110.374877,49,L,Tidak Bekerja,TD,4170369,2,sedang,baru,1,Aduan Konten Kominfo,
LP/2021/0406/SBR,2021-12-10,2021-12-20,Penipuan Online,Skema Ponzi,Telepon Penipuan,Email,Jawa Timur,,-7.273367,112.793911,28,L,Wiraswasta,S1,39906887,8,sedang,selesai,1,Inisiatif Polri,
LP/2021/0407/SBR,2021-01-06,2021-01-26,Penipuan Online,Skema Ponzi,Fake Marketplace,SMS,Jawa Timur,,-7.226187,112.763774,61,P,Tidak Bekerja,S3,32518972,8,sedang,selesai,1,Patroli Siber,
LP/2021/0408/SBR,2021-01-23,2021-01-29,Penipuan Online,Jual-Beli Fiktif,Social Engineering,TikTok,DKI Jakarta,,-6.174591,106.881419,51,L,Pelajar,TD,2299544,4,sedang,baru,0,Laporan Masyarakat,
LP/2021/0409/SBR,2021-12-15,2022-01-14,Penipuan Online,Skema Ponzi,Telepon Penipuan,Telegram,DKI Jakarta,,-6.238666,106.852543,42,L,Karyawan Swasta,SMP,33050942,8,rendah,p21,0,Aduan Konten Kominfo,
LP/2021/0410/SBR,2021-10-24,2021-11-10,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,SMS,Sumatera Selatan,,-2.968439,104.800228,48,L,Karyawan Swasta,SD,304899,5,rendah,dalam_penyelidikan,1,Laporan Masyarakat,
